"Œp‘±ŽžŠÔ
(s)","‰Á‘¬“xNS
(cm/s/s)"
13.02 ,50.4 
13.04 ,57.7 
13.06 ,58.8 
13.08 ,82.2 
13.10 ,79.7 
13.12 ,94.9 
13.14 ,34.5 
13.16 ,4.5 
13.18 ,-12.3 
13.20 ,-34.7 
13.22 ,-42.6 
13.24 ,-41.6 
13.26 ,-27.5 
13.28 ,-27.0 
13.30 ,7.4 
13.32 ,42.8 
13.34 ,-23.1 
13.36 ,-38.7 
13.38 ,-8.3 
13.40 ,13.9 
13.42 ,44.5 
13.44 ,2.7 
13.46 ,-69.7 
13.48 ,-79.6 
13.50 ,-25.1 
13.52 ,-13.5 
13.54 ,7.9 
13.56 ,-11.5 
13.58 ,-25.1 
13.60 ,-33.3 
13.62 ,-26.9 
13.64 ,-30.1 
13.66 ,-20.0 
13.68 ,-6.7 
13.70 ,-3.8 
13.72 ,10.5 
13.74 ,29.6 
13.76 ,34.4 
13.78 ,95.7 
13.80 ,89.8 
13.82 ,17.9 
13.84 ,-36.2 
13.86 ,-99.4 
13.88 ,-80.7 
13.90 ,-74.4 
13.92 ,-53.9 
13.94 ,-33.0 
13.96 ,-12.8 
13.98 ,3.1 
14.00 ,14.8 
14.02 ,50.8 
14.04 ,-2.2 
14.06 ,-48.9 
14.08 ,-35.8 
14.10 ,-69.1 
14.12 ,-51.6 
14.14 ,-37.1 
14.16 ,8.8 
14.18 ,63.2 
14.20 ,84.1 
14.22 ,127.6 
14.24 ,138.8 
14.26 ,119.3 
14.28 ,75.1 
14.30 ,22.5 
14.32 ,-8.8 
14.34 ,-22.7 
14.36 ,7.4 
14.38 ,18.1 
14.40 ,54.4 
14.42 ,39.9 
14.44 ,4.5 
14.46 ,-8.2 
14.48 ,-18.5 
14.50 ,-2.0 
14.52 ,0.6 
14.54 ,-11.7 
14.56 ,-21.0 
14.58 ,-30.3 
14.60 ,-51.2 
14.62 ,-72.7 
14.64 ,-57.9 
14.66 ,-26.6 
14.68 ,-17.8 
14.70 ,4.0 
14.72 ,9.8 
14.74 ,13.7 
14.76 ,22.1 
14.78 ,43.7 
14.80 ,9.1 
14.82 ,-54.8 
14.84 ,-55.5 
14.86 ,-24.3 
14.88 ,-8.1 
14.90 ,25.0 
14.92 ,41.0 
14.94 ,18.2 
14.96 ,-2.7 
14.98 ,-24.3 
15.00 ,-1.5 
15.02 ,24.7 
15.04 ,48.2 
15.06 ,78.3 
15.08 ,62.2 
15.10 ,33.1 
15.12 ,-1.4 
15.14 ,-19.5 
15.16 ,-24.7 
15.18 ,-21.2 
15.20 ,-11.0 
15.22 ,5.0 
15.24 ,24.1 
15.26 ,-3.4 
15.28 ,-21.6 
15.30 ,-47.1 
15.32 ,-36.3 
15.34 ,-19.5 
15.36 ,-1.8 
15.38 ,17.0 
15.40 ,-8.0 
15.42 ,0.5 
15.44 ,23.0 
15.46 ,37.4 
15.48 ,60.1 
15.50 ,51.6 
15.52 ,43.2 
15.54 ,34.4 
15.56 ,50.5 
15.58 ,65.3 
15.60 ,68.3 
15.62 ,17.2 
15.64 ,-17.0 
15.66 ,-52.7 
15.68 ,-66.4 
15.70 ,-38.7 
15.72 ,-22.2 
15.74 ,-3.3 
15.76 ,11.9 
15.78 ,-12.8 
15.80 ,-35.1 
15.82 ,-51.4 
15.84 ,-33.5 
15.86 ,-21.8 
15.88 ,-1.2 
15.90 ,14.2 
15.92 ,7.0 
15.94 ,-6.3 
15.96 ,-12.0 
15.98 ,-32.2 
16.00 ,-34.6 
16.02 ,-9.1 
16.04 ,7.3 
16.06 ,30.9 
16.08 ,47.2 
16.10 ,60.3 
16.12 ,57.6 
16.14 ,33.0 
16.16 ,-7.3 
16.18 ,-77.7 
16.20 ,-60.8 
16.22 ,-43.8 
16.24 ,-20.9 
16.26 ,3.1 
16.28 ,35.0 
16.30 ,29.3 
16.32 ,12.1 
16.34 ,33.8 
16.36 ,31.7 
16.38 ,25.4 
16.40 ,20.6 
16.42 ,19.8 
16.44 ,17.4 
16.46 ,2.1 
16.48 ,-14.4 
16.50 ,-34.3 
16.52 ,-33.9 
16.54 ,-14.5 
16.56 ,-2.8 
16.58 ,17.0 
16.60 ,-9.6 
16.62 ,-25.5 
16.64 ,-27.9 
16.66 ,-38.8 
16.68 ,-24.2 
16.70 ,-21.5 
16.72 ,-18.2 
16.74 ,-17.4 
16.76 ,-3.8 
16.78 ,-2.7 
16.80 ,-18.5 
16.82 ,-12.3 
16.84 ,8.7 
16.86 ,34.3 
16.88 ,69.5 
16.90 ,91.0 
16.92 ,85.3 
16.94 ,76.0 
16.96 ,51.3 
16.98 ,18.6 
17.00 ,1.5 
17.02 ,-19.0 
17.04 ,-15.1 
17.06 ,-7.3 
17.08 ,2.1 
17.10 ,12.9 
17.12 ,21.5 
17.14 ,2.4 
17.16 ,-12.4 
17.18 ,-32.9 
17.20 ,-51.9 
17.22 ,-70.8 
17.24 ,-57.9 
17.26 ,-46.2 
17.28 ,-30.7 
17.30 ,-14.5 
17.32 ,-0.9 
17.34 ,-18.0 
17.36 ,-31.8 
17.38 ,-46.5 
17.40 ,-39.1 
17.42 ,-34.5 
17.44 ,-31.6 
17.46 ,-43.5 
17.48 ,-49.1 
17.50 ,-47.5 
17.52 ,-42.0 
17.54 ,-36.1 
17.56 ,-27.7 
17.58 ,-25.8 
17.60 ,-13.9 
17.62 ,-6.8 
17.64 ,50.7 
17.66 ,72.2 
17.68 ,87.8 
17.70 ,78.2 
17.72 ,76.5 
17.74 ,43.9 
17.76 ,8.0 
17.78 ,1.3 
17.80 ,-12.6 
17.82 ,-1.5 
17.84 ,3.0 
17.86 ,10.4 
17.88 ,10.4 
17.90 ,19.3 
17.92 ,20.5 
17.94 ,7.4 
17.96 ,-5.6 
17.98 ,-7.2 
18.00 ,7.0 
18.02 ,10.6 
18.04 ,14.7 
18.06 ,-0.9 
18.08 ,-15.9 
18.10 ,-18.7 
18.12 ,-0.7 
18.14 ,15.5 
18.16 ,10.5 
18.18 ,-11.5 
18.20 ,-30.2 
18.22 ,-30.9 
18.24 ,-9.5 
18.26 ,-5.8 
18.28 ,0.4 
18.30 ,2.0 
18.32 ,5.0 
18.34 ,5.7 
18.36 ,9.7 
18.38 ,13.4 
18.40 ,17.7 
18.42 ,21.8 
18.44 ,26.1 
18.46 ,30.2 
18.48 ,34.6 
18.50 ,38.6 
18.52 ,47.4 
18.54 ,39.3 
18.56 ,23.8 
18.58 ,11.5 
18.60 ,-7.9 
18.62 ,-12.4 
18.64 ,5.4 
18.66 ,2.7 
18.68 ,-25.0 
18.70 ,-56.6 
18.72 ,-63.0 
18.74 ,-59.1 
18.76 ,-41.3 
18.78 ,-6.8 
18.80 ,27.2 
18.82 ,27.7 
18.84 ,-2.1 
18.86 ,-6.0 
18.88 ,-11.0 
18.90 ,-22.1 
18.92 ,-41.6 
18.94 ,-51.9 
18.96 ,-22.2 
18.98 ,3.0 
19.00 ,7.9 
19.02 ,13.9 
19.04 ,17.1 
19.06 ,25.3 
19.08 ,32.3 
19.10 ,39.1 
19.12 ,16.4 
19.14 ,-13.6 
19.16 ,-32.3 
19.18 ,-29.1 
19.20 ,-28.7 
19.22 ,-30.4 
19.24 ,-33.9 
19.26 ,-24.5 
19.28 ,-7.6 
19.30 ,12.5 
19.32 ,37.6 
19.34 ,40.2 
19.36 ,24.5 
19.38 ,15.6 
19.40 ,-4.0 
19.42 ,-15.3 
19.44 ,-28.9 
19.46 ,-31.6 
19.48 ,-11.1 
19.50 ,9.4 
19.52 ,33.5 
19.54 ,57.6 
19.56 ,42.4 
19.58 ,14.3 
19.60 ,-0.7 
19.62 ,-13.5 
19.64 ,-27.0 
19.66 ,-34.1 
19.68 ,-35.7 
19.70 ,-39.6 
19.72 ,-40.2 
19.74 ,-48.8 
19.76 ,-48.0 
19.78 ,-40.6 
19.80 ,-40.7 
19.82 ,-35.1 
19.84 ,-18.7 
19.86 ,-5.7 
19.88 ,4.4 
19.90 ,-1.9 
19.92 ,-7.2 
19.94 ,-16.9 
19.96 ,-11.5 
19.98 ,12.6 
20.00 ,35.8 
20.02 ,65.4 
20.04 ,71.6 
20.06 ,76.2 
20.08 ,73.9 
20.10 ,62.8 
20.12 ,48.4 
20.14 ,26.4 
20.16 ,-4.4 
20.18 ,-28.8 
20.20 ,-38.4 
20.22 ,-49.2 
20.24 ,-42.8 
20.26 ,-41.6 
20.28 ,-27.6 
20.30 ,-5.2 
20.32 ,23.7 
20.34 ,42.6 
20.36 ,60.4 
20.38 ,45.2 
20.40 ,28.4 
20.42 ,12.6 
20.44 ,-5.4 
20.46 ,-27.5 
20.48 ,-42.3 
20.50 ,-17.5 
20.52 ,0.1 
20.54 ,25.4 
20.56 ,48.1 
20.58 ,64.1 
20.60 ,55.4 
20.62 ,41.3 
20.64 ,18.4 
20.66 ,-4.8 
20.68 ,-30.3 
20.70 ,-53.1 
20.72 ,-70.8 
20.74 ,-92.8 
20.76 ,-86.3 
20.78 ,-63.1 
20.80 ,-37.6 
20.82 ,8.7 
20.84 ,30.9 
20.86 ,58.9 
20.88 ,61.4 
20.90 ,38.5 
20.92 ,35.1 
20.94 ,31.1 
20.96 ,24.6 
20.98 ,1.9 
21.00 ,-19.8 
21.02 ,-15.8 
21.04 ,-1.5 
21.06 ,9.9 
21.08 ,28.6 
21.10 ,40.8 
21.12 ,56.3 
21.14 ,53.1 
21.16 ,31.4 
21.18 ,16.5 
21.20 ,-2.4 
21.22 ,-18.9 
21.24 ,-27.6 
21.26 ,-37.1 
21.28 ,-45.0 
21.30 ,-53.4 
21.32 ,-48.3 
21.34 ,-37.9 
21.36 ,-29.6 
21.38 ,-19.6 
21.40 ,-18.4 
21.42 ,-15.9 
21.44 ,-11.9 
21.46 ,-5.3 
21.48 ,0.2 
21.50 ,5.9 
21.52 ,-2.3 
21.54 ,-11.2 
21.56 ,-20.5 
21.58 ,-32.2 
21.60 ,-38.8 
21.62 ,-34.1 
21.64 ,-28.7 
21.66 ,-32.8 
21.68 ,-40.7 
21.70 ,-48.7 
21.72 ,-56.3 
21.74 ,-64.4 
21.76 ,-55.5 
21.78 ,-44.6 
21.80 ,-0.8 
